population_rank,state,name,population,requirement,housing_duty,plan_mandate,coverage,assessment_actor,assessment_detail,assessment_method,assessment_local_role,allocation,allocation_authority,allocation_detail,enforcement,key_distinction,timing_note,checked_on,review_status,uncertainties,sources,contents
1,CA,California,39355309,required_statewide,"A housing element is mandatory under §65302(c), with detailed substantive requirements in §65583.",Every city and county must adopt a general plan; charter cities must include its mandatory elements.,"All cities and counties, including charter cities; no population cutoff.",state,"California HCD determines each region’s existing and projected housing need in consultation with its council of governments. Cities and counties separately assess local housing conditions and needs in their elements, but that local analysis must include the allocated regional share.","The statutory RHNA process governs HCD’s regional determination and the subsequent allocation, with statutory allocation objectives. Section 65583 prescribes the separate local assessment of population, employment, household characteristics, special needs and constraints.","The locality prepares and adopts its housing element, quantifies local needs and identifies sites and programs to accommodate its regional share. Local diagnosis does not replace the external RHNA number.",state_or_regional,Councils of governments; HCD where no COG,"HCD determines regional need; councils of governments allocate municipal/county shares, or HCD does so where no council exists. Income-specific RHNA informs land capacity and programs, not a guarantee of construction. Seventh-cycle allocations separately identify acutely low and extremely low incomes.","HCD reviews drafts and adopted elements, may revoke compliance findings and refer violations to the Attorney General; courts can order compliance and impose escalating remedies under §65585.",RHNA is an external allocation of planning need. Quantified program objectives may differ from total need (§65583(b)(2)); this does not eliminate the adequate-sites obligation.,,2026-09-20,source_checked,,"Cal. Gov’t Code §65300: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?sectionNum=65300.&lawCode=GOV | Cal. Gov’t Code §65302(c): https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?sectionNum=65302.&lawCode=GOV | Cal. Gov’t Code §65583: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?sectionNum=65583.&lawCode=GOV | Cal. Gov’t Code §65584(a), (b), (f): https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?sectionNum=65584.&lawCode=GOV | Cal. Gov’t Code §65585(b), (h)–(l): https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?sectionNum=65585.&lawCode=GOV | Cal. Gov’t Code §65400: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?sectionNum=65400.&lawCode=GOV","Housing needs (required): Existing/projected need, household conditions, employment trends and special needs. | Income groups (required): Needs and programs across income levels; seventh-cycle additions include acutely low income households. | Land / sites inventory (required): Inventory of vacant and realistically redevelopable residential sites; relate zoning, services and fair housing to sites. | Land capacity (required): Identify adequate sites; rezone when inventory cannot accommodate assigned need. | Development constraints (required): Analyze governmental and market constraints and responses. | Fair housing (required): Fair-housing assessment, priorities, metrics and actions. | Preservation (required): At-risk assisted housing and preservation programs. | Action program (required): Scheduled actions, responsible officials and quantified objectives. | Monitoring (required): Annual progress report due April 1 covers housing-element implementation, regional-need progress, applications, approvals, entitlements, permits, occupancy and rezoned sites. Additional replacement/demolition reporting begins with the April 1, 2027 report."
2,TX,Texas,31709821,no_explicit_requirement,No express municipal housing element duty in Chapter 213. A municipality can include housing by local choice.,A municipality may adopt a comprehensive plan and determines its contents and its relationship to development regulations.,General municipal planning authority statewide; no population cutoff for a housing component appears in Chapter 213.,not_required_or_specified,Chapter 213 identifies no required municipal housing-need estimate or institution responsible for producing one. Its local comprehensive-plan authorization does not establish that cities actually assess housing need.,"The municipality defines plan content and design under §213.002; Chapter 213 prescribes no housing-need formula, dataset or state-calculated planning total.",A municipality may choose to study housing in its plan. The reviewed chapter requires neither that optional analysis nor accommodation of an externally assigned housing number.,none_identified,No external allocator identified,Chapter 213 delegates plan contents to municipalities; it neither calculates statewide housing need nor apportions units to individual municipalities.,Chapter 213 provides public hearing and planning-department/commission review procedures for adopted plans; no housing-element certification or housing allocation enforcement appears there.,"Optional comprehensive planning is only one reason for this code: the operative content provisions themselves leave housing unspecified. This is not a conclusion about every HUD, land-bank, or housing-finance program.",,2026-09-20,source_checked,,Tex. Loc. Gov’t Code §§ 213.001–.005: https://tcss.legis.texas.gov/resources/LG/pdf/LG.213.pdf,
3,FL,Florida,23462518,required_statewide,The comprehensive plan must contain a housing element.,Each local government must maintain a comprehensive plan; a new municipality must adopt one within three years of incorporation.,Incorporated municipalities and counties; no population cutoff for housing. The county plan controls a newly incorporated municipality until its own plan is adopted.,local,"Each local government prepares or commissions the housing-needs analysis for current and future residents, including projected households by size, income and age. State population projections are inputs, not a state housing-needs assessment assigned to the city.","Section 163.3177 specifies housing data and requires professionally accepted methods. Population projections may come from the Office of Economic and Demographic Research or a professionally acceptable local method; state medium projections set a minimum land-accommodation baseline, with proportional county-growth safeguards.",Translate demographic projections into local household and housing needs and adopt the housing element. The state-data and growth-floor requirements constrain inputs but do not supply a California-style municipal housing-unit allocation.,local_assessment,No external housing-unit allocator identified,"Local housing-needs analysis derives household projections by income, size and age from population projections. State demographic data and a county-proportional growth floor constrain planning, but the reviewed sections do not allocate regional housing-unit need to each municipality.","The plan must specify monitoring and implementation procedures. This inventory codes planning duties, not a guarantee of housing construction.",Housing-unit needs are locally analyzed; the state population-projection framework is not California's income-specific municipal allocation system.,,2026-09-20,source_checked,,"Fla. Stat. §163.3167(1)–(3): https://www.flsenate.gov/Laws/Statutes/2026/163.3167 | Fla. Stat. §163.3177(1)(d), (1)(f), (6)(f): https://www.flsenate.gov/Laws/Statutes/2026/163.3177","Housing needs (required): Housing stock, condition, tenure, costs and cost burdens; projected households and minimum current/future housing need. | Income groups (required): Adequate sites for workforce, very-low-, low- and moderate-income housing and special housing types. | Preservation (required): Substandard conditions, rehabilitation, historic housing and preservation of affordability. | Action program (required): Housing programs; partnerships, streamlined permitting and reduced affordable-housing costs/delays. | Other content (required): Adequate future housing sites and infrastructure are required, but this is not an express parcel-by-parcel sites inventory."
4,NY,New York,20002427,encouraged,"Existing housing resources and future housing needs, including affordable housing, are expressly optional plan topics.","General city, town and village enabling statutes expressly encourage, but do not require, preparation and adoption of a comprehensive plan.","General City Law §28-a applies to cities with population no greater than one million and excludes New York City. Town Law §272-a and Village Law §7-722 apply to those municipal types. NYC's local charter planning is a separate regime, not a general statewide housing-element mandate.",not_required_or_specified,"The reviewed general city, town and village planning statutes make housing resources and future housing needs optional plan topics. They do not require a housing-needs estimate or designate a mandatory assessor.",No mandatory housing-needs calculation method appears in these optional comprehensive-plan provisions. This finding does not imply that state housing research or voluntary local studies do not exist.,Local legislative/planning bodies may include housing analysis in an optional plan; that discretion is not coded as a mandatory local assessment. The general city provision excludes cities over one million.,none_identified,No external municipal need allocator identified,"The reviewed city, town and village planning statutes do not assign municipal housing-unit need. They permit consideration of regional needs and local housing resources.","Once adopted, municipal land-use regulations must accord with the plan; adoption also triggers procedural review. These effects do not make the optional housing topic mandatory.",A mandatory zoning-consistency rule is different from a duty to adopt a housing element. S2084 remained in Assembly committee when checked.,,2026-09-20,source_checked,NYC's special/local planning and fair-housing obligations are not exhaustively coded; the classification describes the state general municipal planning statutes.,"N.Y. General City Law §28-a(1), (2)(h), (4)(h), (12): https://www.nysenate.gov/legislation/laws/GCT/28-A | N.Y. Town Law §272-a(1)(h), (3)(h), (11): https://www.nysenate.gov/legislation/laws/TWN/272-A | N.Y. Village Law §7-722(1)(h), (3)(h), (11): https://www.nysenate.gov/legislation/laws/VIL/7-722 | N.Y. Senate S2084 (2025–2026) status: https://www.nysenate.gov/legislation/bills/2025/S2084","Housing needs (encouraged): Existing housing resources and future need, including affordability, may be included. | Action program (encouraged): Optional measures/programs to carry out plan objectives."
5,PA,Pennsylvania,13059432,required_if_plan,"A municipal, multimunicipal or county comprehensive plan must include a plan to meet present and anticipated residents' housing needs.",Municipalities governed by the Municipalities Planning Code may adopt a comprehensive plan. Counties have a separate adoption duty.,"Municipalities under the MPC: cities of second class A and third class, boroughs, incorporated towns and townships. The MPC does not govern first- and second-class cities (Philadelphia and Pittsburgh); their special regimes are outside this classification.",local_or_regional,"The municipal planning agency studies housing and growth for a municipal plan. Municipalities may instead prepare a joint plan, or request county planning-agency preparation, addressing housing needs across the agreed planning region.","MPC §§301(a)(2.1), 301.2 and 1103 require housing-needs planning and surveys of housing, demographic and economic trends. No state numerical housing-needs formula was identified in these provisions; county consistency and consultation requirements still apply.","A municipality electing to plan, or participating in a multimunicipal plan, develops the needs analysis individually or cooperatively and adopts the resulting plan. Joint regional housing analysis is distinct from a state-imposed municipal allocation.",local_assessment,No external municipal need allocator identified,The MPC requires assessment of present and anticipated local residents. Joint plans may accommodate uses across the participating area; the reviewed MPC provisions do not create state-assigned municipal housing-need numbers.,Public adoption and county/neighbor consultation; plans generally guide decisions. Section 303(c) bars invalidating an action solely for inconsistency with the plan.,"The housing component is compulsory in an adopted comprehensive plan, while municipal plan adoption itself is generally permissive under the MPC.",,2026-09-20,source_checked,Philadelphia and Pittsburgh's special planning laws have not been comprehensively reviewed; this row classifies the general MPC framework.,"Pennsylvania Municipalities Planning Code, Act 247 of 1968, §§301(a)(2.1), 301.2–301.4, 302, 303, 1103: https://www.legis.state.pa.us/WU01/LI/LI/US/HTM/1968/0/0247..HTM",Housing needs (required): Housing/demographic/economic studies and a plan for present/future housing needs. | Income groups (encouraged): Housing types and densities across incomes are listed as permissible means of addressing need. | Preservation (encouraged): Conservation of sound housing and rehabilitation of declining neighborhoods are illustrative optional measures. | Action program (required): Discuss short- and long-range implementation strategies.
6,IL,Illinois,12719141,required_subset,Non-exempt local governments must adopt an affordable housing plan. Newly non-exempt governments have 18 months after IHDA notification.,The Affordable Housing Planning and Appeal Act imposes a separate affordable housing plan regardless of whether the municipality elects a comprehensive plan.,"Municipalities with population at least 1,000 and less than 10% affordable year-round housing, as determined by IHDA; counties also covered. Municipalities under 1,000 or with at least 10% affordable housing are exempt.",benchmark_only,"IHDA calculates existing affordable housing stock and the affordable share for each local government to determine exemption status. A non-exempt local government’s plan must state the affordable units necessary to reach exemption and address local constraints and implementation. This is a stock/exemption benchmark, not a state forecast of total or regional future housing need.","Sections 15 and 20 prescribe IHDA’s formula using Census and other relevant data: affordable owner units below 80% and rental units below 60% of county or metropolitan median household income, divided by total year-round housing units. Section 25 requires the local plan’s exemption-unit statement and supplies alternative statutory goals. IHDA’s additional income-band data are informational and do not determine exemptions.","The local government adopts the affordable housing plan, states its exemption-related unit requirement using the statutory benchmark, identifies sites/constraints/incentives, and chooses one or more §25 goals. It can appeal IHDA’s exemption determination under the Act; it receives no allocated share of regional future need.",capacity_target,No regional-need allocator; statutory stock benchmarks,"IHDA calculates existing affordable-stock percentages. The plan selects one or more statutory goals: 15% of new development/redevelopment affordable, a 5-percentage-point increase in affordable stock, or 10% overall affordable stock. These are uniform statutory benchmarks with local choice, not an allocation of regional housing need to cities.","IHDA determines substantial compliance and notifies violations; the Attorney General may seek mandamus, injunction, or other relief. Section 30 also provides affordable-development appeals. These mechanisms do not guarantee unit production.",The Act’s encouragement language in its purpose does not make the non-exempt-government duty optional. Its 10% exemption threshold and alternative goals are not California-style regional need allocation.,,2026-09-20,source_checked,,"310 ILCS 67/25: https://ilga.gov/Documents/legislation/ilcs/documents/031000670K25.htm | 310 ILCS 67/15, /20, /30, /70: https://www.ilga.gov/Legislation/ILCS/Articles?ActID=2477&ChapterID=29 | Illinois HB5198 (104th General Assembly), bill status: https://www.ilga.gov/Legislation/BillStatus?DocNum=5198&DocTypeID=HB&GAID=18&LegId=166836&Print=1&SessionID=114 | IHDA, Affordable Housing Planning and Appeal Act: https://www.ihda.org/about-ihda/ahpaa/","Housing needs (required): State the affordable units needed to reach exempt status. | Income groups (required): Affordability calculations distinguish owner units affordable below 80% and rental units below 60% of median household income in the county or primary metropolitan statistical area. | Land / sites inventory (required): Identify suitable land for affordable construction and structures suitable for conversion or rehabilitation; consider ownership/rental, committed developers, and public or semi-public sites. Not the detailed California parcel-capacity protocol. | Development constraints (required): Describe market conditions, infrastructure limits, ordinances and policies constraining affordable housing; devise mitigation strategies. | Fair housing (required): Constraints analysis includes policies or practices that fail to affirmatively further fair housing. | Action program (required): Identify incentives, choose statutory goal(s), and propose timelines for actions to commence within 24 months of adoption. | Monitoring (required): File the plan with IHDA within 60 days; implementation report no later than four years after adoption/update; prior plans require progress summaries."
7,OH,Ohio,11900510,no_explicit_requirement,"The reviewed municipal planning statute does not expressly require a housing element, housing needs assessment, or equivalent citywide housing plan.","Section 713.01 authorizes cities and villages to establish commissions. Once established, § 713.02 directs the commission to make plans and maps.",General city/village planning-commission regime; no housing-specific population or geography trigger appears in §§ 713.01–.02. Local charter provisions may add duties.,not_required_or_specified,"The municipal planning commission prepares physical-development plans and maps, but §713.02 identifies no required housing-need estimate or housing assessor.",The statute lists physical/public-facility planning topics and permits information and funding cooperation. It supplies no housing-demand calculation method or state housing total for municipal planning.,The commission performs the statutory general planning work. A municipality’s voluntary housing study is not established by that general duty; no external housing-unit number must be accommodated under the reviewed sections.,none_identified,No external allocator identified,The enumerated planning duties and public-project review powers in § 713.02 do not allocate state or regional housing need to municipalities.,"The statute requires commission review of specified public projects after a plan exists, with legislative overrides. No housing-element compliance or assigned-unit enforcement mechanism is identified in these provisions.",A duty to make municipal plans is not itself a duty to prepare a housing element; a local housing strategy or federal consolidated plan is a different instrument.,,2026-09-20,source_checked,,Ohio Rev. Code § 713.01: https://codes.ohio.gov/ohio-revised-code/section-713.01 | Ohio Rev. Code § 713.02: https://codes.ohio.gov/ohio-revised-code/section-713.02,
8,GA,Georgia,11302748,required_subset,Housing element required for HUD Community Development Block Grant Entitlement Communities; expressly optional and encouraged for other local governments.,A comprehensive plan is required to retain qualified-local-government certification and eligibility for selected state funding and permitting programs.,"The operative trigger is HUD CDBG entitlement-community status, not receipt of any federal grant. The standards operate within Georgia's qualified-local-government planning system; approved alternative planning requirements are possible.",local,"For the CDBG entitlement communities required to include housing, the local comprehensive-plan process evaluates housing-stock adequacy for current and future community needs. Existing consolidated-plan or comparable local housing-plan analysis may substitute.","DCA Rule 110-12-1-.03(9) prescribes factors including stock/type/condition, costs and burdens, jobs-housing balance, special populations and life-cycle options. The reviewed rule does not prescribe a state-calculated unit-need total.","Prepare or incorporate the local housing analysis and integrate applicable goals, needs and work-program items into the comprehensive plan. Regional/state review of that plan is not the same as calculating and allocating municipal housing need.",local_assessment,No external municipal need allocator identified,Evaluate local housing-stock adequacy and current/future needs. The reviewed rules prescribe no state or regional assignment of a municipal housing-unit share.,Regional Commission and Department of Community Affairs review for conformity; certification determines eligibility for selected funding and permitting programs.,The required analysis inventories existing housing stock; it does not prescribe a parcel-level inventory of developable sites.,,2026-09-20,source_checked,,Ga. Comp. R. & Regs. 110-12-1-.02; -.03(9): https://rules.sos.ga.gov/gac/110-12-1,"Housing needs (required): Evaluate housing mix, condition, occupancy, costs, cost-burdened households and jobs–housing balance. | Income groups (required): Affordability/cost burdens, special populations and housing across the life cycle. | Action program (required): Integrate housing-related goals, needs/opportunities and work-program actions into the comprehensive plan even when using a Consolidated Plan analysis."
9,NC,North Carolina,11197968,encouraged,Housing plans and a comprehensive-plan topic covering diverse housing types and affordability are expressly optional under the general enabling statute.,A local government must adopt and reasonably maintain a comprehensive or land-use plan as a condition of exercising zoning authority.,General framework applies to local governments exercising Chapter 160D zoning authority; no population trigger for the optional housing topic. Coastal CAMA land-use planning has additional rules and is treated separately in the caveat.,not_required_or_specified,Section 160D-501 permits housing plans and housing-affordability topics but does not require a housing-needs estimate or name a mandatory housing-needs assessor.,The reviewed general-planning statute sets no mandatory housing-need calculation method. Its optional housing topic concerns types and affordability; the separate coastal stock-inventory access caveat remains.,"A local government may undertake housing analysis within its plan, which is adopted with planning-board advice. That optional analysis is not treated as a state-mandated local need assessment.",none_identified,No external municipal need allocator identified,The reviewed general planning statute creates no state/regional allocation of municipal housing-unit need.,"Adoption is a condition of zoning authority. Plans are advisory without independent regulatory effect, and must be considered when amending zoning.",Mandatory adoption of some plan does not make every suggested topic mandatory. Coastal land-use rules additionally require housing-stock information; stock description is not a housing-needs allocation.,,2026-09-20,source_checked,The official coastal-rule server could not be fully retrieved. Secondary indexed text of 15A NCAC 07B .0702 identifies mandatory coastal-plan housing-stock estimates; this has not been elevated to a source-checked housing-element mandate.,"N.C. Gen. Stat. §160D-501(a)–(c), §160D-503: https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/ByArticle/Chapter_160D/Article_5.html",Income groups (encouraged): A plan may address housing types and affordability for all household types and income levels. | Housing needs (encouraged): Optional separate housing plan and general needs analysis.
10,MI,Michigan,10127884,required_if_plan,"Master plans must include an assessment of existing and forecast housing demands, with responsive strategies and policies, among subjects reasonably pertinent to future development. This express housing provision took effect April 2, 2025.","The Planning Enabling Act authorizes a local government to adopt a master plan and create a planning commission; once constituted, the commission shall make and approve a plan. This is not a universal municipal housing-element mandate.",No population cutoff in the housing provision. Applies through the master-plan framework and its pertinence qualification. Plans carried forward from repealed planning acts are exempt from §33 contents until first amended under the 2008 act.,local,"The local planning commission prepares the master plan, including an assessment of the community’s existing and forecast housing demands and responsive policies, subject to the statutory pertinence qualification and older-plan exception.",The Planning Enabling Act requires the assessment and strategies but does not specify a statewide numerical housing-needs formula in the reviewed provisions. Its procedural and content requirements still constrain plan preparation.,The commission assesses community housing demands and incorporates strategies into the master plan. No state or regional housing-unit number that the municipality must accommodate was identified in the reviewed act.,local_assessment,No external allocator identified,The statute calls for an assessment of the community's own housing demands. No state or regional assignment of municipal unit needs was identified in the reviewed Planning Enabling Act.,"The act prescribes plan adoption, intergovernmental notice and periodic review. No housing-specific state certification, assigned unit quota or housing-production sanction was identified in this act.",Michigan now expressly requires a housing-demand assessment in applicable master plans; a claim that its planning act is silent on housing misses the 2025-effective amendment.,,2026-09-20,source_checked,,"Mich. Comp. Laws §§ 125.3807, .3811, .3831, .3833(2)(e), .3845(2), .3881(1): https://www.legislature.mi.gov/documents/mcl/pdf/mcl-Act-33-of-2008.pdf","Housing needs (required): Assess existing and forecast community housing demands, subject to the statutory pertinence qualification. | Action program (required): Strategies and policies to address those demands; the plan also includes implementation recommendations. | Monitoring (required): Review the master plan at least every five years and record whether amendment or replacement should begin; this is plan review rather than a housing-production reporting duty."
